Aeg;Mis koolis käid?;Mis on sinu sugu? ;Mitmendas klassis õpid?;Kui pikk on sinu koolitee?;Kui Tihti sõidad autoga kooli?;Kui Tihti sõidad ühistranspordiga kooli?;Kui Tihti lähed jalgsi kooli?;Kui Tihti sõidad jalgrattaga kooli?;Kui Tihti lähed motoriseeritud kaherattalisega kooli?;Kui Tihti sõidad ise kooli?;Miks just see vahend kooli minekuks?;Kui tihti tuled autoga koolist?;Kui tihti viiakse autoga kuni ühistranspordi peatuseni?;Kui tihti tuled ühistranspordiga koolist?;Kui tihti jalgsi koolist?;Kui tihti tuled jalgrattaga koolist?;Kui tihti tuled motoriseeritud kaherattalisega koolist?;Kui tihti sõidad ise koolist?;Miks just see vahend koolist tulemiseks?;Kui turvaliseks pead kooliteed kui sind viiakse autoga?;Milliseid ohte oskad välja tuua?;Kui palju aega kulub sul tavaliselt autoga kooli / koolist koju minemiseks?;Mis põhjustel sind autoga kooli viiakse?;Kui oluliseks pead koolitee valikul mõju oma tervisele?;Kui oluliseks pead koolitee valikul mõju keskkonnale?;Mis see sinu jaoks muudaks kui hakkaksid rohkem iseseisvalt koolis käima?;Kui palju aega kulub sul tavaliselt iseseisvalt kooli minemiseks / koolist koju tulemiseks?;Kas ja mis tingimustel sa oleks valmis/nõus rohkem iseseisvalt koolis käima?;Kui heaks hindad oma liikluskäitumist?;Kui palju keskmiselt liigud (õues / trennid jms) igapäevaselt?;Kui turvaliseks hindad oma kooliteed kui lähed kooli iseseisvalt (jalgsi jalgrattaga ühistranspordiga vms)?;Kas kooliteel esineb järgnevaid ohte? Märgi kõik ohud;Milliseid sinu hinnangul ohtlikke liiklussituatsioone oled kooli ümbruses liigeldes tähele pannud?;Kirjelda lastevanemate liikluskäitumist kooli ümbruses?;Milline on sinu enda liikluskäitumine kooli ümbruses?;Kas sinu hinnangul saaks kool midagi kooli ümbruse ohutumaks muutmiseks teha?;Milliseid muid lahendusi pakud välja selleks et kooli ümbrust ohutumaks muuta?
14.11.2019 13:46;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;1-5 km;Mitte kunagi;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;Kool asub lähedal ja mulle meeldib kõndida jala või liikuda jalgrattaga;Mitte kunagi;Mitte kunagi;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;;alla 5 minuti;Siis kui ise palun, et mind viidaks autoga;Pean oluliseks;Pean v�ga oluliseks;Käin iseseisvalt. Väga harva, kui viiakse autoga. ;alla 5 minuti;Käin iseseisvalt;V�ga hea;31-45 minutit;T�iesti ohutu;Minu arvates ei kooliteel mingeid ohte;;;;;
14.11.2019 14:00;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mulle meeldib ise minna;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;avarii või juhtuda;5-10 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem), Sest nii on ohutum;Pean v�ga oluliseks;Pean oluliseks;Olen hommikul värskem ja keskendun tunnis paremini;21-30 minutit;käin niigi;Hea;rohkem kui 60 minutit;Ohtlik;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Lubatud sõidukiirust ületavad juhid;autod ei pane lapsi tähele;kihutavad palju;arvan, et hea;keelata autode juurdepääsu kooli juurde;
20.11.2019 22:21;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;Elan koolile väga lähedal ,seega on kergem tulla jalgsi.;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;Homikuti on liiklus tihe ja on võimalik auto õnnetusse sattuda.;alla 5 minuti;Mind ei viida autoga kooli.;Nii ja naa;Pean oluliseks;Ma käin iseseisvalt koolis.;alla 5 minuti;Ma käin iseseisvalt koolis.;V�ga hea;46-60 minutit;T�iesti ohutu;Lubatud sõidukiirust ületavad juhid;Kiiruspiirangu ületamine.;Lapsevanemad on ettevaatlikud.;Olen hoolas ja jälgin ümbrust.;;
22.11.2019 10:56;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;5-10 km;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mugav;Mitte kunagi;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;Auto avarii;5-10 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Ei pea �ldse oluliseks;Nii ja naa;Peaks varem ärkama;21-30 minutit;Ei ole;V�ga hea;46-60 minutit;T�iesti ohutu;Reguleerimata ülekäigurajad+Suurem oht langeda kuriteo ohvriks;;;;;
22.11.2019 10:58;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;1-5 km;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kuna mul pole teist valikut;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;;alla 5 minuti;Sest nii on ohutum;Nii ja naa;Nii ja naa;Ma käin iseseisvalt koolis juba;5-10 minutit;Käin juba iseseisvalt;V�ga hea;31-45 minutit;T�iesti ohutu;;Ei ole panud midagi tähele;Väga hea;Hea;Ei saaks;Ei tea
22.11.2019 10:59;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;ei oska vastata;Mitte kunagi;Alati;Pooltel kordadel n�dalas;Harva;Mitte kunagi;Mitte kunagi;Parim viis;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;Avarii;11-20 minutit;Ei käi autoga;Suhteliselt ebaoluline;Nii ja naa;Ei muudaks väga midagi;31-45 minutit;Käin juba;Nii ja naa;11-20 minutit;Suhteliselt ohutu;Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud;;;;;
22.11.2019 11:00;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;Kuni 1 km;Mitte kunagi;Tihti;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Et jõuaks;Mitte kunagi;Mitte kunagi;Tihti;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Et saaks kiiremini;T�iesti ohutu;Lihtsalt lendavad kooli väravatest sisse mõned autod;5-10 minutit;Halva ilma korral, ei viidagi;Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;käingi;11-20 minutit;käin juba;V�ga hea;11-20 minutit;V�ga ohtlik;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid+Minu arvates ei kooliteel mingeid ohte;;;;;
22.11.2019 11:55;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Kuni 1 km;Pooltel kordadel n�dalas;Pooltel kordadel n�dalas;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;muid pole;Pooltel kordadel n�dalas;Mitte kunagi;Pooltel kordadel n�dalas;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;c;T�iesti ohutu;ei ole;5-10 minutit;Halva ilma korral, Kui olen hiljaks jäämas;Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;midagi;11-20 minutit;ei ole tingimusi;V�ga hea;21-30 minutit;T�iesti ohutu;Minu arvates ei kooliteel mingeid ohte;ei ole;normaalne;hea;ei tea;ei tea
22.11.2019 11:55;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Elan väga lähedal koolile;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;;Nii ja naa;Hommikuti liigub päris palju autosid  ning isegi jalgsi on ohtlik;alla 5 minuti;Ainult siis, kui koolis on mingi üritus ja vanematele jääb see tee vahele;Pean oluliseks;Pean v�ga oluliseks;Õhkan värket õhku ja toetan tervist ja füüsilist aktiivsust;5-10 minutit;Kui oleks vähem õpikuid;Hea;21-30 minutit;V�ga ohtlik;Reguleerimata ülekäigurajad+Suurem oht langeda kuriteo ohvriks;Hommikuti parkib kooli ees aiast väljas palju vanemate outosid, seal on väike ristmik, ühed sõidavad ette mõned teisele poole, pole aru saada kuhu minna ja kuidas auto alla mitte jääda.;Autodege seotud, nad võiksid lepsed kaugemal maha jätta või kiiremini tegema.;Kodust kooli ja koolist koju;Kooli taga see ristmik on ohtlik paljudele. Ainus tee kus saaks ennast ohust kaugemal hoida on üks kitsas porine ja libe rada kus ei taha paljud kõndida ning peavad kõndima auto teel. Selle porise raja asemel võiks teha normaalse kõnnitee.;See on kõik
22.11.2019 12:57;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;ei oska vastata;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Tihti;Mitte kunagi;Muud mood ei saa;Mitte kunagi;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Tihti;Mitte kunagi;;T�iesti ohutu;;rohkem kui 60 minutit;ei viida autoga kooli;Nii ja naa;Pean oluliseks;ei muudaks palju;rohkem kui 60 minutit;kui rohkem aega on;V�ga hea;rohkem kui 60 minutit;T�iesti ohutu;Reguleerimata ülekäigurajad+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;;;;;
