Aeg;Mis koolis laps käib?;Mis on lapse sugu? ;Mitmendas klassis laps õpib?;Kui pikk on lapse koolitee?;Kui tihti sõidetakse autoga kooli?;Kui tihti sõidab laps ühistranspordiga kooli?;Kui tihti läheb laps jalgsi kooli?;Kui tihti sõidab laps jalgrattaga kooli?;Kui tihti läheb laps motoriseeritud kaherattalisega kooli?;Kui tihti sõidab laps ise kooli?;Miks just see vahend kooli minekuks?;Kui tihti tuleb laps autoga koolist?;Kui tihti viiakse laps autoga kuni ühistranspordi peatuseni?;Kui tihti tuleb laps ühistranspordiga koolist?;Kui tihti tuleb laps jalgsi koolist?;Kui tihti tuleb laps jalgrattaga koolist?;Kui tihti tuleb laps motoriseeritud kaherattalisega koolist?;Kui tihti sõidab laps ise koolist?;Miks just see vahend koolist tulemiseks?;Kas kasutate lapse kooli viimiseks või koolist toomiseks autot?;Kui turvaliseks hindate lapse kooliteed viies last kooli autoga?;Milliseid ohte oskate välja tuua?;Kui palju aega kulub teil tavaliselt autoga lapse kooli viimiseks / koolist koju toomiseks;Mis põhjustel last autoga kooli viiakse?;Kui oluliseks peate koolitee valikul mõju lapse tervisele?;Kui oluliseks peate koolitee valikul mõju keskkonnale?;Kas ja mis teie elus muutuks kui teie laps iseseisvalt rohkem koolis käiks;Kui palju aega kulub lapsel tavaliselt iseseisvalt kooli minemiseks / koolist koju tulemiseks?;Kas ja mis tingimustel sa oleks laps valmis/nõus rohkem iseseisvalt koolis käima?;Kui heaks hindad lapse liikluskäitumist?;Kui palju keskmiselt liigub laps (õues / trennid jms) igapäevaselt?;Kui turvaliseks hindad lapse kooliteed kui läheb kooli iseseisvalt (jalgsi jalgrattaga ühistranspordiga vms)?;Kas kooliteel esineb järgnevaid ohte? Märgi kõik ohud;Kui palju tekitab teile muret lapse turvalisuse osas see, et laps iseseisvalt liigeldes liigselt nutitelefoni kasutab?;Milliseid ohtlikke liiklussituatsioone olete kooli ümbruses tähele pannud?;Milline on teie enda liikluskäitumine kooli ümbruses?;Kas teie hinnangul saaks kool midagi kooli ümbruse ohutustamiseks teha?;Kas teie hinnangul saate ka ise midagi kooli ümbruse ohutustamiseks teha?;Milliseid muid lahendusi pakute välja selleks et kooli ümbrust ohutumaks muuta?
11/14/2019 13:41:40;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;Kuni 1 km;Harva;Harva;Tihti;Harva;Mitte kunagi;Mitte kunagi;Ohutu+kool lähedal;Harva;Mitte kunagi;Harva;Tihti;Harva;Mitte kunagi;Mitte kunagi;Ei erine;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;;alla 5 minuti;Viime halva ilma korral;Pean väga oluliseks;Pean väga oluliseks;Ei sõltuks minu aeg lastest.;11-20 minutit;Kindlasti on, laps ise soovib.;Nii ja naa;46-60 minutit;Täiesti Suhteliselt ohutu;Minu arvates ei ole lapsel kooliteel mingeid ohte;On probleem ;Hommikuti on palju autosid ja tähelepanu võib hajuda.;Ei pargi, lasen lapsel väljuda lähedaloleva kortermaja ees.;Võimalik.;Kindlasti, mitte autoga hommikuti last viia.;Vähem autodega sõitmist.
11/14/2019 13:54:32;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;Pooltel kordadel nädalast;Harva;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Autoga  mugav ja turvaline;Tihti;Mitte kunagi;Harva;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;;5-10 minutit;Sest nii on ohutum;Nii ja naa;Nii ja naa;Lapsel ja minul on nii mugavam, kui viin autoga kooli;11-20 minutit;Ei tea;Hea;31-45 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks;On suur probleem ;Autojuhid sõidavad tihti liiga kiiresti;Ei pargi kooli juures;Parkimiskohti võiks olla koolis olla rohkem;Ei ;
11/14/2019 15:11:42;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Üle 10 km;Mitte kunagi;Alati;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;sõidab bussiga kooli ja tagasi koju;Mitte kunagi;Mitte kunagi;Alati;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;ise läheb bussi peale;Ei kasuta lapse transportimiseks autot;;;;;;;;31-45 minutit;käibki ise;Väga hea;rohkem kui 60 minutit;Täiesti Suhteliselt ohutu;Reguleerimata ülekäigurajad+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;kihutavad autod mikrorajooni teedel;liiklen ühistranspordiga ja jalgsi;ettepanekuid nt lamava politseiniku paigaldamiseks ja kiirust piiravate märkide paigaldamiseks;käituda liikluskuulekalt;vähendada autode arvu haridusasutuse läheduses
11/19/2019 9:08:55;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;1-5 km;Pooltel kordadel nädalast;Tihti;Harva;Harva;Mitte kunagi;Mitte kunagi;Laps on alaealine ja ei sõida ise autoga;Pooltel kordadel nädalast;Harva;Tihti;Harva;Harva;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;;5-10 minutit;Viime halva ilma korral+Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem)+Kui lapsed paluvad+Kui oleme hiljaks jäämas+Kui lapsed on hommikul väga väsinud;Nii ja naa;Nii ja naa;Käib ise koolis;21-30 minutit;Ta on nõus iseseisvalt käima;Väga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Nii ja naa;Ei ole märganud;Värava taha pargin auto;;;
11/19/2019 9:22:34;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kõige kiirem viis kooli saada on autoga, sest bussiga minnes oleks ärkamine väga vara.;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;;11-20 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Pean väga oluliseks;Pean väga oluliseks;Ei muutu midagi;31-45 minutit;Oleks nõus;Hea;46-60 minutit;Ohtlik;Suurem oht langeda kuriteo ohvriks;On probleem ;Lapsevanemad sõidavad autodega üle lubatud piirkiiruse;Väljaspoole kooli territooriumi pargin;Näiteks kooli parklasse tõkkepuu panna, sest siiani sõidavad sinna kihutavad lapsevanemad (kuigi keelatud);;
11/19/2019 9:35:15;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;1-5 km;Mitte kunagi;Harva;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kiireim viis kooli jõudmiseks+turvaline;Mitte kunagi;Mitte kunagi;Harva;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sama;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;käibki ise;Hea;5-10 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Ei ole märganud;Kaupluse parklas;;;
11/19/2019 9:58:15;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;1-5 km;Mitte kunagi;Harva;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;turvaline;Mitte kunagi;Mitte kunagi;Harva;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Turvalisem;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;käibki ise;Hea;5-10 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Ei ole märganud;Pargin koolist eemale;;;
11/19/2019 10:06:32;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;kool lähedal;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;käibki ise;Väga hea;46-60 minutit;Suhteliselt ohutu;Lubatud sõidukiirust ületavad juhid;Suhteliselt väike probleem;Õuealal kihutavad autod.;Ei sõida autoga;Kool on tubli ja juba keelanud ära autoga laste ukseette sõidutamise, et vältida ohtlike olukordi kooli õuealal.;Riputan lapsele helkuri külge.;Lamavad politseinikud ennem ülekäiguradasid. Parem valgustus. 
11/19/2019 10:07:38;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;1-5 km;Mitte kunagi;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;Peres puudub auto.;Mitte kunagi;Mitte kunagi;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;;;;;;;;11-20 minutit;Ta on täielikult iseseisev.;Hea;31-45 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid+Vägapalju lapsevanemaid kes  sõidutavad autodega oma lapsi otse kooli treppi!!!  ;On probleem ;teritoorjumi sõitvad autod mis hakkavad sealt välja kakerdama ,aga samal ajal tulevad jalksi lapsed ,kes on alles unised  või juba ülimeelikus tujus. ;Liigun jala või bussiga.; Raske öelda,   midagi kindlasti.;Vist mitte.; Mõtteid on palju  aga  teades,et need ei vii kuhugi siis   ei hakka pakkuma.
11/19/2019 15:11:53;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;1-5 km;Pooltel kordadel nädalast;Pooltel kordadel nädalast;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Autoga sõltuvalt ilmast ja kaasa võetavate asjade raskusest. Tagasi Alati ühistranspordiga;Harva;Mitte kunagi;Tihti;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;Autost koolin minek mööda autosid täis õueala, puudub kõnnitee;11-20 minutit;Viime halva ilma korral+Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem)+Kui lapsed paluvad+Kui oleme hiljaks jäämas+Kui lapsed on hommikul väga väsinud;Nii ja naa;Suhteliselt ebaoluline;Muretseksin rohkem, laps liikleb jalgsi autode vahel õismäe majade vahel. Pimedas kogunevad kambad.;21-30 minutit;Kergem koolikott.  Lapsel ei ole ise kooli mineku vastu midagi kuid kui me oleme nõus viima, siis ära ei ütle;Hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Autojuht ei märka last. Kiiruse ületamine. Paldiski maanteel eiratakse punast tuld;Elumaja hoovialale;Ei;Ei ;Valgustus, kõnniteed, lamavad politseinikud
